Дата игры,Название команды,Количество игроков,Номер стола,Раунд 1,Раунд 2,Раунд 3,Раунд 4,Раунд 5,Раунд 6,Раунд 7,Итоговый счет,Место в игре,Источник
3/9/2025,Стол №1,7,8,7.5,16,12.5,12,5,4,7,64,1,Квиз_09.03.2025
3/9/2025,Импровизация,6,7,6.5,10.5,12,6,7.5,3,7,52.5,2,Квиз_09.03.2025
3/9/2025,Не смотрите наверх,8,6,7,8.5,9,13,2,4,8,51.5,3,Квиз_09.03.2025
3/9/2025,Три товарища,4,5,5.5,7,10,8,7.5,2,4,44,4,Квиз_09.03.2025
3/9/2025,Биполярная Звезда,2,3,5,9,12.5,6.5,0,4,6,43,5,Квиз_09.03.2025
3/14/2025,Стол №1,6,7,5,3,2,4,1,6,0,21,3,Квиз_14.03.2025
3/14/2025,Не смотрите наверх,6,6,5,3,2,5,1,4,10,30,1,Квиз_14.03.2025
3/14/2025,Три товарища,4,4,3,1,0,6,2,0,2,14,4,Квиз_14.03.2025
3/14/2025,Люди Короля,5,5,5,2,3,0,4,4,6,24,2,Квиз_14.03.2025
3/14/2025,Татарстан,3,9,4,2,0,3,0,2,1,12,6,Квиз_14.03.2025
3/14/2025,Кася,0,,5,2,2,5,3,0,-4,13,5,Квиз_14.03.2025
3/14/2025,Алешки,0,,1,0,4,0,0,0,3,8,7,Квиз_14.03.2025
3/21/2025,Члены Команды,4,2,3,5,4,6,4,0,10,32,1,Квиз_21.03.2025
3/21/2025,Не смотрите наверх,5,6,2,6,2,5,3,2,10,30,2,Квиз_21.03.2025
3/21/2025,Люди Короля,5,3,1,4,2,7,3,0,12,29,3,Квиз_21.03.2025
3/21/2025,Ход конём,6,1,2,6,2,4,4,0,10,28,4,Квиз_21.03.2025
3/21/2025,Нашатырь,5,7,4,5,2,4,3,2,7,27,5,Квиз_21.03.2025
3/21/2025,Стол №1,8,8,2,5,2,0,4,0,13,26,6,Квиз_21.03.2025
3/21/2025,Три товарища,4,5,2,5,1,2,2,2,10,24,7,Квиз_21.03.2025
3/21/2025,Непара,3,4,2,2,1,0,1,0,1,7,8,Квиз_21.03.2025
3/28/2025,Не смотрите наверх,4,7,3,5,5,8,5,2,12,40,1,Квиз_28.03.2025
3/28/2025,Стол №1,7,8,5,4,4,7,6,0,12,38,2,Квиз_28.03.2025
3/28/2025,Нашатырь,7,6,6,5,3,8,5,2,4,33,3,Квиз_28.03.2025
3/28/2025,Испанский стыд,4,5,3,3,3,6,4,0,3,22,4,Квиз_28.03.2025
3/28/2025,Три товарища,4,4,2,3,3,6,1,0,6,21,5,Квиз_28.03.2025
3/28/2025,Байкал,4,1,3,2,2,5,0,0,3,15,6,Квиз_28.03.2025
4/4/2025,Не смотрите наверх,6,6,3,3,6,10,5,2,9,38,1,Квиз_04.04.2025
4/4/2025,Стол №1,6,7,4,3,6,8,2,0,12,35,2,Квиз_04.04.2025
4/4/2025,Испанский стыд,4,5,4,3,2,5,2,4,8,28,3,Квиз_04.04.2025
4/4/2025,Блюдечко,2,4,3,3,3,4,3,2,9,27,4,Квиз_04.04.2025
4/4/2025,Нашатырь,7,8,4,4,3,5,2,0,7,25,5,Квиз_04.04.2025
4/4/2025,Люди Короля,5,3,4,3,5,2,3,0,5,22,6,Квиз_04.04.2025
4/11/2025,Люди Короля,5,5,5,3,5,8,5,4,14,44,1,Квиз_11.04.2025
4/11/2025,Испанский стыд,4,4,5,3,1,8,5,4,16,42,2,Квиз_11.04.2025
4/11/2025,Нашатырь,7,6,4,3,2,5,4,6,18,42,3,Квиз_11.04.2025
4/11/2025,Стол №1,7,8,4,5,5,5,5,6,11,41,4,Квиз_11.04.2025
4/11/2025,Не смотрите наверх,4,7,6,6,4,8,5,4,7,40,5,Квиз_11.04.2025
4/11/2025,Блюдечко,2,Бар,5,4,3,2,4,4,7,29,6,Квиз_11.04.2025
4/11/2025,Не сегодня,2,Бар,5,6,3,1,5,2,6,28,7,Квиз_11.04.2025
4/18/2025,Люди Короля,5,3,6,6,4,10,5,4,10,45,1,Квиз_18.04.2025
4/18/2025,Нашатырь,7,6,6,5,3,7,6,2,13,42,2,Квиз_18.04.2025
4/18/2025,Стол №1,7,8,4,4,4,9,6,2,13,42,3,Квиз_18.04.2025
4/18/2025,Мозг в аренде,2,Бар,5,1,4,8,6,2,9,35,4,Квиз_18.04.2025
4/18/2025,Не смотрите наверх,4,5,5,3,4,5,2,2,8,29,5,Квиз_18.04.2025
4/18/2025,Испанский стыд,5,7,4,5,2,6,2,2,4,25,6,Квиз_18.04.2025
4/18/2025,Фужер,2,Бар,5,2,2,0,3,2,8,22,7,Квиз_18.04.2025
4/18/2025,Три товарища,6,1,4,3,5,1,1,2,4,20,8,Квиз_18.04.2025
4/18/2025,Импровизация,4,4,4,3,2,1,1,2,6,19,9,Квиз_18.04.2025
4/25/2025,Люди Короля,5,3,5,4,5,11,5,4,15,49,1,Квиз_25.04.2025
4/25/2025,Нашатырь,8,8,5,4,6,8,6,2,13,44,2,Квиз_25.04.2025
4/25/2025,Гренки,2,бар,6,5,3,7,3,2,15,41,3,Квиз_25.04.2025
4/25/2025,Стол №1,6,7,5,6,5,5,6,0,13,40,4,Квиз_25.04.2025
4/25/2025,Испанский стыд,4,5,6,5,3,5,5,0,15,39,5,Квиз_25.04.2025
4/25/2025,Не смотрите наверх,5,6,5,5,3,6,3,0,13,35,6,Квиз_25.04.2025
4/25/2025,Импровизация,4,4,3,4,2,4,3,0,7,23,7,Квиз_25.04.2025
5/2/2025,Люди Короля,5,3,5,6,4,6,4,2,16,43,1,Квиз_02.05.2025
5/2/2025,Нашатырь,5,5,4,5,5,8,5,4,10,41,2,Квиз_02.05.2025
5/2/2025,Улыбаемся и машем,4,4,4,4,2,3,5,4,10,32,3,Квиз_02.05.2025
5/2/2025,Испанский стыд,5,7,5,5,5,7,4,0,0,26,4,Квиз_02.05.2025
5/2/2025,Мирные жители,5,2,5,4,4,3,4,2,4,26,5,Квиз_02.05.2025
5/2/2025,Стол №1,7,8,5,5,3,4,5,2,0,24,6,Квиз_02.05.2025
5/2/2025,Мозг в аренде,6,6,4,3,5,0,5,0,6,23,7,Квиз_02.05.2025
5/2/2025,Синячий патруль,2,бар,4,4,3,3,2,2,4,22,8,Квиз_02.05.2025
5/4/2025,Испанский стыд,4,4,4,7,3,4,5,1.5,9,33.5,1,Квиз_04.05.2025
5/4/2025,Мозг в аренде,2,2,6,4,1,3,8,3.5,6,31.5,2,Квиз_04.05.2025
5/4/2025,Стол №1,7,8,8,6,2,3,5,1,5,30,3,Квиз_04.05.2025
5/4/2025,Синячий патруль,2,3,4,5,2,3,3,0.5,10,27.5,4,Квиз_04.05.2025
5/4/2025,Биба и его команда,5,6,5,2,2,4,7,2,5,27,5,Квиз_04.05.2025
5/4/2025,Мирные жители,5,7,7,4,1,2,6,2.5,2,24.5,6,Квиз_04.05.2025
5/4/2025,Расчеши манту,2,1,5,3,1,2,4,0,4,19,7,Квиз_04.05.2025
5/4/2025,Зеркала миров,5,5,3,2,0,2,7,0.5,1,15.5,8,Квиз_04.05.2025
5/9/2025,Нашатырь,7,6,6,4,6,5,4,13.5,13,51.5,1,Квиз_09.05.2025
5/9/2025,Люди Короля,6,3,6,5,6,4,5,13.5,6,45.5,2,Квиз_09.05.2025
5/9/2025,Стол №1,7,8,6,6,5,5,4,9,5,40,3,Квиз_09.05.2025
5/9/2025,Испанский стыд,4,5,4,3,4,2,3,12.5,9,37.5,4,Квиз_09.05.2025
5/9/2025,Мозг в аренде,5,7,4,4,6,5,3,9,2,33,5,Квиз_09.05.2025
5/9/2025,Тигры,3,2,4,1,3,0,3,8,0,19,6,Квиз_09.05.2025
5/11/2025,Мозг в аренде,4,9,10,10,4,5,8,6,17,60,1,Квиз_11.05.2025
5/11/2025,Люди Короля,4,5,7,7,2,4,6,5,21,52,2,Квиз_11.05.2025
5/11/2025,Не смотрите наверх,5,7,8,10,3,3,4,3.5,13,44.5,3,Квиз_11.05.2025
5/11/2025,Испанский стыд,4,8,3,8,1,4,7,3.5,7,33.5,4,Квиз_11.05.2025
5/11/2025,Стол №1,7,6,5,5,4,3,5,2,8,32,5,Квиз_11.05.2025
5/16/2025,Не смотрите наверх,4,5,5,4,6,8,4,4,5,36,1,Квиз_16.05.2025
5/16/2025,Стол №1,7,8,3,3,4,8,4,4,6,32,2,Квиз_16.05.2025
5/16/2025,Нашатырь,7,6,6,5,4,8,5,2,2,32,3,Квиз_16.05.2025
5/16/2025,Люди Короля,4,3,5,3,6,3,6,2,2,27,4,Квиз_16.05.2025
5/16/2025,Импровизация,4,7,3,3,1,2,3,0,4,16,5,Квиз_16.05.2025
5/16/2025,Испанский стыд,4,4,3,1,2,3,4,2,0,15,6,Квиз_16.05.2025
5/16/2025,ДАбра нИжди,4,2,3,1,2,0,4,0,5,15,7,Квиз_16.05.2025
5/25/2025,Мозг в аренде,2,3,9,7,6,4,2,5,16,49,1,Квиз_25.05.2025
5/25/2025,Не смотрите наверх,5,6,7,7,4,3,1,5,13,40,2,Квиз_25.05.2025
5/25/2025,Испанский стыд,4,5,6,6,3,3,3,2,9,32,3,Квиз_25.05.2025
5/25/2025,Синячий патруль,2,2,6,7,1,3,0,4,10,31,4,Квиз_25.05.2025
5/25/2025,Импровизация,6,4,8,4,3,2,0,4,9,30,5,Квиз_25.05.2025
5/30/2025,Не смотрите на Короля,6,6,4,5,5,8,6,2,8,38,1,Квиз_30.05.2025
5/30/2025,Гренки,4,7,5,2,4,8,6,2,10,37,2,Квиз_30.05.2025
5/30/2025,Синячий патруль,2,3,3,1,2,6,3,2,9,26,3,Квиз_30.05.2025
5/30/2025,Импровизация,4,5,1,3,5,5,4,0,7,25,4,Квиз_30.05.2025
5/30/2025,Панда,2,8,2,0,1,1,1,0,-1,4,5,Квиз_30.05.2025
6/6/2025,Нашатырь,9,"1,2",5,6,4,4,6,2,11,38,1,Квиз_06.06.2025
6/6/2025,Не смотрите наверх,8,4,4,4,4,7,6,0,7,32,2,Квиз_06.06.2025
6/6/2025,Испанский стыд,4,6,4,5,3,6,6,0,4,28,3,Квиз_06.06.2025
6/6/2025,Синячий патруль,2,3,2,4,5,6,5,2,3,27,4,Квиз_06.06.2025
6/6/2025,Импровизация,4,5,5,3,3,4,4,4,3,26,5,Квиз_06.06.2025
6/6/2025,Люди Короля,5,9,3,2,4,4,6,2,4,25,6,Квиз_06.06.2025
6/6/2025,Три товарища,4,8,4,2,1,0,0,0,0,7,7,Квиз_06.06.2025
6/11/2025,Нашатырь,5,1,5,5,5,3,6,0,12,36,1,Квиз_11.06.2025
6/11/2025,Не смотрите наверх,5,4,6,4,6,1,5,0,12,34,2,Квиз_11.06.2025
6/11/2025,Испанский стыд,3,2,4,4,5,2,4,0,10,29,3,Квиз_11.06.2025
6/11/2025,Импровизация,4,5,6,4,2,4,5,0,7,28,4,Квиз_11.06.2025
6/11/2025,Синячий патруль,2,3,5,4,5,0,2,0,8,24,5,Квиз_11.06.2025
6/11/2025,Стол №1,4,6,5,2,3,2,1,0,7,20,6,Квиз_11.06.2025
6/18/2025,Нашатырь,5,6,0,0,0,0,0,0,0,0,1,Квиз_18.06.2025
6/18/2025,Не смотрите наверх,5,4,0,0,0,0,0,0,0,0,2,Квиз_18.06.2025
6/18/2025,Испанский стыд,3,5,0,0,0,0,0,0,0,0,3,Квиз_18.06.2025
6/18/2025,Импровизация,4,2,0,0,0,0,0,0,0,0,4,Квиз_18.06.2025
6/18/2025,Стол №1,4,1,0,0,0,0,0,0,0,0,5,Квиз_18.06.2025
6/18/2025,Команда Башир,4,8,0,0,0,0,0,0,0,0,6,Квиз_18.06.2025
6/18/2025,сильно ву пле),2,3,0,0,0,0,0,0,0,0,7,Квиз_18.06.2025
6/15/2025,Нашатырь,0,"1,2",4,5,4,4,3,4,15,39,1,Квиз_15.06.2025
6/15/2025,Не смотрите наверх,5,4,3,4,3,4,6,0,6,26,2,Квиз_15.06.2025
6/15/2025,Импровизация,4,5,3,5,1,1,4,2,3,19,3,Квиз_15.06.2025
6/15/2025,Расчеши манту,2,3,5,1,3,1,3,2,2,17,4,Квиз_15.06.2025
6/20/2025,Нашатырь,0,"1,2",4,5,5,6,5,4,12,41,1,Квиз_20.06.2025
6/20/2025,Стол №1,5,6,5,4,2,6,2,4,13,36,2,Квиз_20.06.2025
6/20/2025,Люди Короля,5,9,5,4,5,8,2,2,9,35,3,Квиз_20.06.2025
6/20/2025,Импровизация,4,5,3,5,3,5,4,2,5,27,4,Квиз_20.06.2025
6/20/2025,Испанский стыд,3,3,6,4,3,6,2,2,3,26,5,Квиз_20.06.2025
6/20/2025,СНТ Прошкино,5,8,2,2,5,5,3,2,6,25,6,Квиз_20.06.2025
6/20/2025,Не смотрите наверх,5,4,5,2,5,6,1,0,5,24,7,Квиз_20.06.2025
6/27/2025,Не смотрите наверх,9,"1,2",5,6,5,9,6,2,16,49,1,Квиз_27.06.2025
6/27/2025,Люди Короля,6,9,5,5,6,10,6,0,15,47,2,Квиз_27.06.2025
6/27/2025,Нашатырь,7,6,4,3,3,10,6,4,15,45,3,Квиз_27.06.2025
6/27/2025,Стол №1,8,4,4,3,3,10,5,0,16,41,4,Квиз_27.06.2025
6/27/2025,Импровизация,2,3,4,3,3,8,6,2,13,39,5,Квиз_27.06.2025
6/27/2025,Синячий патруль,2,7,4,2,1,6,6,0,18,37,6,Квиз_27.06.2025
6/27/2025,Испанский стыд,4,5,4,4,3,8,3,0,12,34,7,Квиз_27.06.2025
6/27/2025,Квиз who is,4,8,3,2,2,3,4,0,11,25,8,Квиз_27.06.2025
6/27/2025,Черти района 😈,4,10,4,2,2,0,2,0,9,19,9,Квиз_27.06.2025
7/4/2025,Не смотрите наверх,7,4,5,8,5,6,4,5,11,44,1,Квиз_04.07.2025
7/4/2025,Люди Короля,6,5,5,5,3,4,0,6,18,41,2,Квиз_04.07.2025
7/4/2025,Синячий патруль,4,8,4,5,3,3,4,1,5,25,3,Квиз_04.07.2025
